names,date,score,genre,country
The Price We Pay,1/13/2023,60,"Action, Thriller, Mystery, Crime, Horror",US
Lupin The 3rd vs. Cat’s Eye,1/27/2023,60,"Animation, Action, Adventure, Comedy",AU
Murder Mystery,5/25/2019,63,"Comedy, Mystery",AU
Luz Mala,11/17/2022,43,Horror,AR
Babylon,1/19/2023,75,"Drama, Comedy",AU
The Lost City,3/30/2022,66,"Action, Adventure, Comedy",AU
The Lost City,3/30/2022,66,"Action, Adventure, Comedy",AU
Detective Knight: Rogue,10/21/2022,67,"Action, Crime, Thriller",US
Cop Secret,10/20/2021,61,"Comedy, Action, Thriller",IS
The Quintessential Quintuplets Movie,12/1/2022,84,"Animation, Comedy, Romance",AU
Harry Potter and the Chamber of Secrets,11/28/2002,77,"Adventure, Fantasy",AU
Kill Boksoon,3/31/2023,69,"Action, Thriller, Crime",KR
Candy Land,1/6/2023,65,"Horror, Thriller",US
Venom: Let There Be Carnage,11/25/2021,69,"Science Fiction, Action, Adventure",AU
Harry Potter and the Philosopher's Stone,11/29/2001,79,"Adventure, Fantasy",AU
On the Count of Three,9/29/2022,66,"Comedy, Drama",AU
Uncharted,2/17/2022,70,"Action, Adventure",AU
DC League of Super-Pets,9/3/2022,74,"Animation, Action, Family, Comedy, Science Fiction",AU
Moonfall,2/3/2022,64,Science Fiction,AU
Athena,9/23/2022,67,Drama,FR
Unicorn Wars,10/21/2022,64,"Action, Animation, Comedy, Fantasy, Horror, War",ES
Teen Wolf: The Movie,1/27/2023,78,"Action, Fantasy, TV Movie",AU
Fantastic Beasts: The Secrets of Dumbledore,4/7/2022,68,"Fantasy, Adventure, Family",AU
Cars 3,6/22/2017,69,"Animation, Adventure, Comedy, Family",AU
The Ledge,2/18/2022,66,"Thriller, Adventure",US
The Big 4,12/15/2022,71,"Action, Comedy, Crime",ID
Interstellar,11/6/2014,84,"Adventure, Drama, Science Fiction",AU
Viking Wolf,2/3/2023,59,"Horror, Thriller, Mystery",AU
20th Century Girl,10/6/2022,83,"Romance, Drama",KR
The Soccer Football Movie,11/9/2022,61,"Animation, Comedy, Family",US
Boston Strangler,3/17/2023,67,"Thriller, Drama, Crime",AU
Close,2/16/2023,78,Drama,AU
Coraline,8/6/2009,78,"Animation, Family, Fantasy",AU
Luther: The Fallen Sun,3/23/2023,69,"Thriller, Crime, Action, Mystery",AU
Harry Potter and the Goblet of Fire,12/1/2005,78,"Adventure, Fantasy, Family",AU
Piggy,10/14/2022,66,"Thriller, Drama, Horror",ES
